Results for well: P4 in the reservoir: RES1

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         4000        0           0         
0.01      4000        0.706957    0.00019969
0.02      4000        0.620866    0.0003204 
0.03      4000        0.549615    0.000390093
0.0400339  4000        0.490253    0.000427199
0.0526955  4000        0.430345    0.000445262
0.0685579  4000        0.372686    0.000444219
0.0889607  4000        0.318456    0.000426706
0.116331  4000        0.268487    0.000396353
0.152585  4000        0.225477    0.000359291
0.197946  4000        0.191351    0.000322674
0.255349  4000        0.164247    0.000289039
0.33053   4000        0.142044    0.000258482
0.433852  4000        0.123078    0.000230237
0.568989  4000        0.107473    0.000205522
0.73867   4000        0.094958    0.000184733
0.955191  4000        0.0847797   0.000167191
1.22209   4000        0.0767968   0.000153026
1.55988   4000        0.0705117   0.000141614
2.00856   4000        0.0655923   0.000132504
2.63855   4000        0.0618893   0.000125513
3.52289   4000        0.0593993   0.000120693
4.81653   4000        0.057878    0.000117603
5         4000        0.0576968   0.000117229
