Results for well: P1 in the reservoir: RES1

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         4000        0           0         
0.01      4000        0.109716    5.44637e-006
0.02      4000        0.10732     1.03611e-005
0.03      4000        0.105058    1.47973e-005
0.0400339  4000        0.102912    1.88219e-005
0.0526955  4000        0.100383    2.33354e-005
0.0685579  4000        0.0974628   2.82357e-005
0.0889607  4000        0.0940642   3.35212e-005
0.116331  4000        0.090042    3.91942e-005
0.152585  4000        0.0854724   4.48721e-005
0.197946  4000        0.0806815   4.9948e-005
0.255349  4000        0.0757353   5.42447e-005
0.33053   4000        0.0706318   5.76711e-005
0.433852  4000        0.0653588   6.01343e-005
0.568989  4000        0.0603495   6.14579e-005
0.73867   4000        0.0558698   6.18002e-005
0.955191  4000        0.0518739   6.14315e-005
1.22209   4000        0.0484479   6.06061e-005
1.55988   4000        0.0454658   5.95007e-005
2.00856   4000        0.0428131   5.82086e-005
2.63855   4000        0.0404316   5.67917e-005
3.52289   4000        0.0383907   5.53698e-005
4.81653   4000        0.0366544   5.39865e-005
5         4000        0.0364297   5.37982e-005
