Results for well: P2 in the reservoir: RES1

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         4000        0           0         
0.01      4000        1.34389     0.000921043
0.02      4000        1.00858     0.00107291
0.03      4000        0.814198    0.00104508
0.0400339  4000        0.695515    0.000986017
0.0526955  4000        0.606361    0.000920523
0.0685579  4000        0.538569    0.000858541
0.0889607  4000        0.482563    0.000799396
0.116331  4000        0.430822    0.00073843
0.152585  4000        0.381027    0.00067409
0.197946  4000        0.334738    0.000609331
0.255349  4000        0.291788    0.000544983
0.33053   4000        0.252013    0.000481735
0.433852  4000        0.215361    0.000420333
0.568989  4000        0.184237    0.000365842
0.73867   4000        0.159049    0.000320161
0.955191  4000        0.138331    0.000281526
1.22209   4000        0.121546    0.000249528
1.55988   4000        0.107445    0.000222162
2.00856   4000        0.0951575   0.000197955
2.63855   4000        0.0842615   0.000176206
3.52289   4000        0.075007    0.000157517
4.81653   4000        0.0672342   0.000141654
5         4000        0.0662326   0.000139601
